review_id,product_id,customer_id,rating,review_date,review_text
106,P-005,c-142,5,2025-09-15,"Excellent product!"
107,P-011,c-221,4,2025-09-03,"Good value for money."
108,P-002,c-189,1,2025-10-01,"Terrible! Broke immediately."
109,P-008,c-105,3,2025-11-05,"It's okay, nothing special."
110,P-005,c-244,5,2025-10-22,"Absolutely love it!"
111,P-015,c-112,0,2025-09-28,
112,P-001,c-176,4,2025-11-01,"Works well, no major complaints."
113,P-019,c-137,2,2025-09-19,"Not what I expected."
114,P-007,c-203,5,2025-10-14,"5 stars! Highly recommend."
115,P-003,c-158,5,2025-09-05,"Perfect!"
116,P-012,c-166,3,2025-10-30,"Average quality."
117,P-009,c-191,1,2025-11-12,"Do not buy."
118,P-004,c-129,4,2025-09-21,"Pretty good."
119,P-010,c-211,5,2025-10-08,"Amazing quality."
120,P-018,c-145,2,2025-11-02,"Disappointed with this."
121,P-006,c-230,4,2025-09-11,"Solid purchase."
122,P-013,c-181,3,2025-10-18,"Meh. It's fine."
123,P-002,c-101,5,2025-11-07,"Couldn't be happier!"
124,P-017,c-133,1,2025-09-25,"Complete waste of money."
125,P-005,c-150,0,2025-10-04,
126,P-014,c-209,4,2025-10-27,"Mostly satisfied."
127,P-001,c-162,5,2025-11-14,"Excellent product!"
128,P-011,c-117,3,2025-09-08,"It's okay."
129,P-008,c-198,2,2025-10-11,"Poor quality."
130,P-020,c-173,4,2025-09-17,"Good value for money."
131,P-007,c-123,5,2025-11-09,"Absolutely love it!"
132,P-016,c-139,1,2025-10-02,"Hate it. Broke immediately."
133,P-003,c-218,5,2025-09-23,"Perfect!"
134,P-010,c-108,4,2025-10-24,"Works well."
135,P-004,c-185,3,2025-11-04,"Could be better."
136,P-019,c-148,5,2025-09-13,"5 stars! Highly recommend."
137,P-009,c-237,2,2025-10-06,"Wouldn't buy again."
138,P-012,c-153,4,2025-10-29,"No major complaints."
139,P-006,c-115,1,2025-09-02,"Awful experience."
140,P-013,c-201,5,2025-11-11,"Amazing quality."
141,P-015,c-127,3,2025-09-20,"It's average."
142,P-005,c-179,4,2025-10-16,"Solid purchase."
143,P-018,c-194,0,2025-11-06,
144,P-002,c-160,5,2025-09-29,"Couldn't be happier!"
145,P-017,c-103,1,2025-10-20,"Terrible!"
146,P-014,c-225,4,2025-09-10,"Pretty good."
147,P-001,c-188,5,2025-11-03,"Excellent product!"
148,P-011,c-141,2,2025-09-26,Disappointed.
149,P-008,c-207,3,2025-10-13,Meh.
150,P-020,c-119,5,2025-10-31,"Absolutely love it!"
151,P-007,c-171,4,2025-09-04,"Good value for money."
152,P-016,c-135,1,2025-10-26,"Do not buy."
153,P-003,c-196,5,2025-11-13,"Perfect!"
154,P-010,c-156,4,2025-09-16,"Works well."
155,P-004,c-106,3,2025-10-09,"It's fine."
156,P-019,c-164,2,2025-10-21,"Not what I expected."
157,P-009,c-122,5,2025-09-24,"5 stars! Highly recommend."
158,P-012,c-214,4,2025-11-08,"Mostly satisfied."
159,P-006,c-183,1,2025-10-05,"Broke after a few uses."
160,P-013,c-102,5,2025-09-14,"Amazing quality."
161,P-015,c-144,3,2025-10-17,"Could be better."
162,P-005,c-228,4,2025-11-01,"Solid purchase."
163,P-018,c-110,5,2025-09-07,"Excellent product!"
164,P-002,c-169,0,2025-10-23,
165,P-017,c-192,1,2025-09-30,"Complete waste of money."
166,P-014,c-151,4,2025-10-15,"No major complaints."
167,P-001,c-125,5,2025-11-10,"Couldn't be happier!"
168,P-011,c-205,3,2025-09-18,Average.
169,P-008,c-131,2,2025-10-07,"Poor quality."
170,P-020,c-187,5,2025-10-28,"Absolutely love it!"
171,P-007,c-149,4,2025-09-06,"Good value for money."
172,P-016,c-167,1,2025-10-19,"Terrible!"
173,P-003,c-222,5,2025-11-05,"Perfect!"
174,P-010,c-113,4,2025-09-22,"Pretty good."
175,P-004,c-174,3,2025-10-12,"Meh. It's fine."
176,P-019,c-130,5,2025-11-13,"5 stars! Highly recommend."
177,P-009,c-216,2,2025-09-12,"Wouldn't buy again."
178,P-012,c-109,4,2025-10-03,"Works well."
179,P-006,c-199,1,2025-10-25,"Awful experience."
180,P-013,c-155,5,2025-09-01,"Amazing quality."
181,P-015,c-121,3,2025-11-07,"It's okay."
182,P-005,c-184,4,2025-09-27,"Solid purchase."
183,P-018,c-200,5,2025-10-10,"Excellent product!"
184,P-002,c-146,1,2025-11-02,"Broke immediately."
185,P-017,c-177,0,2025-09-09,
186,P-014,c-118,4,2025-10-22,"Mostly satisfied."
187,P-001,c-240,5,2025-10-14,"Couldn't be happier!"
188,P-011,c-136,3,2025-11-04,"Average quality."
189,P-008,c-195,2,2025-09-19,Disappointed.
190,P-020,c-104,5,2025-10-01,"Absolutely love it!"
191,P-007,c-161,4,2025-11-12,"Good value for money."
192,P-016,c-213,1,2025-09-21,"Do not buy."
193,P-003,c-128,5,2025-10-08,"Perfect!"
194,P-010,c-180,4,2025-10-30,"No major complaints."
195,P-004,c-140,3,2025-09-05,"Could be better."
196,P-019,c-227,5,2025-11-09,"5 stars! Highly recommend."
197,P-009,c-111,2,2025-10-24,"Not what I expected."
198,P-012,c-172,4,2025-09-15,"Works well."
199,P-006,c-233,1,2025-10-17,"Complete waste of money."
200,P-013,c-134,5,2025-11-06,"Amazing quality."
201,P-015,c-197,3,2025-09-28,Meh.
202,P-005,c-152,4,2025-10-11,"Solid purchase."
203,P-018,c-210,5,2025-10-27,"Excellent product!"
204,P-002,c-107,1,2025-11-14,"Hate it."
205,P-017,c-165,0,2025-09-03,
206,P-014,c-120,4,2025-10-06,"Pretty good."
207,P-001,c-186,5,2025-11-01,"Absolutely love it!"
208,P-011,c-132,3,2025-09-13,"It's fine."
209,P-008,c-220,2,2025-10-20,"Poor quality."
210,P-020,c-147,5,2025-10-04,"Couldn't be happier!"
211,P-007,c-116,4,2025-11-08,"Good value for money."
212,P-016,c-202,1,2025-09-25,"Awful experience."
213,P-003,c-159,5,2025-10-13,"Perfect!"
214,P-010,c-190,4,2025-09-07,"Works well."
215,P-004,c-124,3,2025-10-29,Average.
216,P-019,c-212,5,2025-09-17,"5 stars! Highly recommend."
217,P-009,c-168,2,2025-11-03,"Wouldn't buy again."
218,P-012,c-138,4,2025-10-18,"Mostly satisfied."
219,P-006,c-223,1,2025-09-29,"Terrible!"
220,P-013,c-175,5,2025-11-11,"Amazing quality."
221,P-015,c-100,3,2025-09-11,"It's okay, nothing special."
222,P-005,c-163,4,2025-10-23,"Solid purchase."
223,P-018,c-208,5,2025-10-02,"Excellent product!"
224,P-002,c-143,1,2025-11-10,"Broke after one use."
